satellite,instrument,satellite-description,instrument-description
goes-14,sxi,Geostationary Operational Environmental Satellite - 14 (GOES-14),Solar X-ray Imager (SXI)
goes-16,exis,Geostationary Operational Environmental Satellite - 16 (GOES-16),Extreme Ultraviolet Sensor / X-Ray Sensor Irradiance Sensors (EXIS)
goes-16,seiss-ehis,Geostationary Operational Environmental Satellite - 16 (GOES-16),SEISS / Energetic Heavy Ion Sensor (SEISS/EHIS)
goes-16,seiss-mps,Geostationary Operational Environmental Satellite - 16 (GOES-16),SEISS / Magnetospheric Particle Sensor (SEISS/MPS)
goes-16,seiss-sgps,Geostationary Operational Environmental Satellite - 16 (GOES-16),SEISS / Solar and Galactic Proton Sensor (SEISS/SGPS)
goes-16,sem-mag,Geostationary Operational Environmental Satellite - 16 (GOES-16),SEM / Magnetometer (SEM/MAG)
goes-16,suvi,Geostationary Operational Environmental Satellite - 16 (GOES-16),Solar Ultraviolet Imager (SUVI)
goes-17,exis,Geostationary Operational Environmental Satellite - 17 (GOES-17),Extreme Ultraviolet Sensor / X-Ray Sensor Irradiance Sensors (EXIS)
goes-17,seiss-ehis,Geostationary Operational Environmental Satellite - 17 (GOES-17),SEISS / Energetic Heavy Ion Sensor (SEISS/EHIS)
goes-17,seiss-mps,Geostationary Operational Environmental Satellite - 17 (GOES-17),SEISS / Magnetospheric Particle Sensor (SEISS/MPS)
goes-17,seiss-sgps,Geostationary Operational Environmental Satellite - 17 (GOES-17),SEISS / Solar and Galactic Proton Sensor (SEISS/SGPS)
goes-17,sem-mag,Geostationary Operational Environmental Satellite - 17 (GOES-17),SEM / Magnetometer (SEM/MAG)
goes-17,suvi,Geostationary Operational Environmental Satellite - 17 (GOES-17),Solar Ultraviolet Imager (SUVI)
goes-18,exis,Geostationary Operational Environmental Satellite - 18 (GOES-18),Extreme Ultraviolet Sensor / X-Ray Sensor Irradiance Sensors (EXIS)
goes-18,seiss-ehis,Geostationary Operational Environmental Satellite - 18 (GOES-18),SEISS / Energetic Heavy Ion Sensor (SEISS/EHIS)
goes-18,seiss-mps,Geostationary Operational Environmental Satellite - 18 (GOES-18),SEISS / Magnetospheric Particle Sensor (SEISS/MPS)
goes-18,seiss-sgps,Geostationary Operational Environmental Satellite - 18 (GOES-18),SEISS / Solar and Galactic Proton Sensor (SEISS/SGPS)
goes-18,sem-mag,Geostationary Operational Environmental Satellite - 18 (GOES-18),SEM / Magnetometer (SEM/MAG)
goes-18,suvi,Geostationary Operational Environmental Satellite - 18 (GOES-18),Solar Ultraviolet Imager (SUVI)
grace-fo,superstar,Gravity Recovery and Climate Experiment - Follow-on (GRACE-FO (2 sats)),Super Space Three-axis Accelerometer for Research (SuperSTAR)
icon,euv,Ionospheric Connection Explorer (ICON),Extreme Ultra Violet Imaging Spectrograph (EUV)
icon,fuv,Ionospheric Connection Explorer (ICON),Far Ultra Violet Imaging Spectrograph (FUV)
icon,ivm,Ionospheric Connection Explorer (ICON),In-situ Ion Velocity Meter (IVM)
iris,iris,Interface Region Imaging Spectrograph (IRIS),Interface Region Imaging Spectrograph (IRIS)
iss-gari,gari,The GAGG Radiation Instruments (GARI) (ISS GARI),The GAGG Radiation Instruments (GARI)
jason-3,carmen,Joint Altimetry Satellite Oceanography Network - 3 (JASON-3),Environment Characterization and Modelisation (CARMEN)
jason-3,lpt,Joint Altimetry Satellite Oceanography Network - 3 (JASON-3),Light Particle Telescope (LPT)
lemur-2,stratos,Low Earth Multi-Use Receiver - 2 (Lemur-2),STRATOS (STRATOS)
mats,mats,Mesospheric Airglow/Aerosol Tomography and Spectroscopy (MATS),Mesospheric Airglow/Aerosol Tomography and Spectroscopy (MATS)
meteor-m-n2,ggak-e-gals-e,Meteor-M Number 2 (Meteor-M N2),GGAK-E / Detector of galactic cosmic rays (GGAK-E/GALS-E)
meteor-m-n2,ggak-e-skif-6,Meteor-M Number 2 (Meteor-M N2),GGAK-E / Corpuscular radiation spectrometer (GGAK-E/SKIF-6)
meteor-m-n2,ggak-m-rims-m,Meteor-M Number 2 (Meteor-M N2),Radio-frequency mass spectrometer - M (GGAK-M/RIMS-M)
meteor-m-n2-2,ggak-e-gals-e,Meteor-M Number 2-2 (Meteor-M N2-2),GGAK-E / Detector of galactic cosmic rays (GGAK-E/GALS-E)
meteor-m-n2-2,ggak-e-skif-6,Meteor-M Number 2-2 (Meteor-M N2-2),GGAK-E / Corpuscular radiation spectrometer (GGAK-E/SKIF-6)
meteor-m-n2-2,ggak-m-rims-m,Meteor-M Number 2-2 (Meteor-M N2-2),Radio-frequency mass spectrometer - M (GGAK-M/RIMS-M)
meteor-m-n2-3,ggak-e-gals-e,Meteor-M Number 2-3 (Meteor-M N2-3),GGAK-E / Detector of galactic cosmic rays (GGAK-E/GALS-E)
meteor-m-n2-3,ggak-e-skif-6,Meteor-M Number 2-3 (Meteor-M N2-3),GGAK-E / Corpuscular radiation spectrometer (GGAK-E/SKIF-6)
meteor-m-n2-3,ggak-m-rims-m,Meteor-M Number 2-3 (Meteor-M N2-3),Radio-frequency mass spectrometer - M (GGAK-M/RIMS-M)
meteor-m-n2-4,ggak-e-gals-e,Meteor-M Number 2-4 (Meteor-M N2-4),GGAK-E / Detector of galactic cosmic rays (GGAK-E/GALS-E)
